# 台灣慣用語詞表（SSoT）——zh_localize_check／delegate.py／deck verify_deck／research-writing-kit 共用。
# 讀取與比對規則見同目錄 zh_tw_terms.py；改完跑 server/scripts/dev/sync_zh_tw_terms.py 同步各 repo 副本。
# 收詞判準（2026-09-12）：候選詞先用 zh_tw_terms_audit.py 掃《設計學報》台灣作者論文（120 篇，已排除 19 篇對岸作者稿）；
#   台灣作者 3 篇以上在用＝台灣學界正常用法，不收，或用 need_near 限縮到該報的脈絡。使用者明訂的裁定（~/.claude/CLAUDE.md 對照表）照收。
# mode：fix＝單一答案、可自動替換（只有 delegate.py 會真的替換）；flag＝看脈絡、只提示；allow＝比對前先遮掉的白名單片段。
# 出處（source 欄）：own＝使用者裁定與原 zh_localize；deck＝deck-template verify_deck 原清單；delegate＝delegate.py 原 AUTO_FIX／FLAG_ONLY；
#   zhtw-mcp＝sysprog21/zhtw-mcp assets/ruleset.json @cae49bb03a2a（MIT License，Copyright (c) 2026 National Cheng Kung University, Taiwan；其兩岸詞彙資料源自 OpenCC，Apache-2.0）；
#   speak-human-tw＝Raymondhou0917/speak-human-tw references/taiwan-localization.md（MIT License，Copyright (c) 2026 Raymond Hou (雷蒙三十)）。
cn	tw	mode	skip_near	need_near	note	source
反饋	回饋	fix				own
視頻	影片	fix				own
音頻	音訊	fix				own
屏幕	螢幕	fix				own
默認	預設	fix				own
落地	實施／實現／到位	flag			指 implement；landing page 之落地頁→到達頁	own
錨定	參照	flag			anchoring 直譯腔，如錨定樣本→參照樣本；「錨定效應」為心理學術語例外	own
接口	介面	fix				own
服務器	伺服器	fix				own
用戶	使用者	fix				own
內存	記憶體	fix				own
信息	資訊	fix				own
信號	訊號	flag				own
數據庫	資料庫	fix				own
代碼	程式碼	flag		程式|函式|執行|撰寫|編譯|原始|Python|JavaScript|腳本	質性研究的編碼「代碼」為台灣正確用法	own
編程	程式設計	fix				own
調試	除錯	fix				own
緩存	快取	fix				own
帶寬	頻寬	fix				own
硬盤	硬碟	fix				own
激光	雷射	fix				own
矢量	向量	fix				own
概率	機率	fix				own
軟件	軟體	fix				own
硬件	硬體	fix				own
鼠標	滑鼠	fix				own
光標	游標	fix				own
智能	智慧	flag			AI 脈絡	own
卸載	解除安裝	flag			軟體脈絡	own
網絡	網路	fix			具體網路脈絡	own
視屏	螢幕／影片	flag				own
缺省	預設	fix				own
字符	字元	fix				own
比特	位元	flag			比特幣除外	own
默認值	預設值	fix				own
